shipment_id,shipment_volume,distance_km,transport_cost,warehouse_load_pct,weather_risk,traffic_index,shipping_mode,delivery_days
SHP0042,272.0,991.3,4850.08,67.26,0.0,85.12,Second Class,4.75
SHP0043,63.0,834.08,6854.2,66.03,3.0,91.07,First Class,4.01
SHP0044,226.0,1040.86,6332.56,49.29,3.0,58.89,Standard,5.66
SHP0045,149.0,1157.24,7451.37,99.95,0.0,93.16,First Class,4.37
SHP0046,338.0,900.11,7170.56,83.28,0.0,91.69,Standard,5.06
SHP0047,418.0,1629.75,5308.31,60.1,3.0,59.1,Standard,7.34
SHP0048,26.0,324.36,3247.18,86.67,3.0,28.76,Standard,5.15
SHP0049,243.0,523.38,1100.74,51.04,3.0,49.17,First Class,3.85
SHP0050,234.0,644.42,1599.79,53.5,1.0,79.66,First class,3.44
SHP0051,495.0,1395.02,7860.19,85.47,3.0,64.83,Second Class,7.18
SHP0052,195.0,1175.52,2508.53,80.19,0.0,34.98,Second Class,3.76
SHP0053,99.0,375.53,8062.17,86.01,3.0,88.89,Second Class,6.06
SHP0054,113.0,1341.27,2858.86,60.31,1.0,71.67,Standard,5.62
SHP0055,249.0,1389.91,656.72,47.01,0.0,30.28,Second Class,3.84
SHP0056,305.0,1387.58,2716.48,63.24,0.0,,Same Day,2.27
SHP0057,176.0,145.68,3554.16,83.14,2.0,61.17,First Class,1.89
SHP0058,228.0,385.79,1067.57,90.01,0.0,48.6,First Class,1.98
SHP0059,338.0,1612.22,3953.39,93.65,0.0,61.89,Standard,5.65
SHP0060,163.0,1583.58,7211.79,99.52,0.0,63.22,First Class,3.7
SHP0061,483.0,374.0,3812.31,55.36,1.0,98.24,First Class,3.83
SHP0062,120.0,994.72,4519.55,89.47,3.0,74.77,Standard,6.18
SHP0063,468.0,476.52,8989.14,99.9,2.0,41.89,First Class,2.49
SHP0064,439.0,752.23,2055.58,53.17,1.0,53.36,Standard,3.75
SHP0065,479.0,42.6,4963.64,35.33,2.0,28.95,First Class,2.68
SHP0066,402.0,510.76,8891.64,44.26,2.0,48.4,Standard,4.28
SHP0067,273.0,490.87,4537.16,85.55,0.0,84.59,Second Class,3.9
SHP0068,311.0,1654.84,5384.06,87.25,0.0,52.34,Same Day,1.9
SHP0069,119.0,1060.41,4988.35,51.88,0.0,,Standard,4.51
SHP0070,185.0,323.64,,96.11,0.0,45.19,Same Day,1.13
SHP0071,242.0,772.48,6487.8,50.37,2.0,69.84,Standard,6.25
SHP0072,474.0,889.82,8221.85,82.36,2.0,25.88,Standard,4.39
SHP0073,401.0,1149.06,8350.2,46.99,2.0,30.69,First Class,2.73
SHP0074,290.0,960.74,21368.08,84.22,1.0,52.7,Second Class,4.4
SHP0075,305.0,760.68,3269.72,38.3,2.0,93.34,Standard,5.98
SHP0076,227.0,562.87,6128.27,73.36,1.0,76.96,Second Class,4.02
SHP0077,221.0,1037.12,8509.86,57.68,2.0,37.63,Standard,6.11
SHP0078,452.0,1756.62,8806.5,77.84,0.0,43.8,Same Day,1.6
SHP0079,21.0,997.61,2654.15,92.64,0.0,23.59,Second Class,2.89
SHP0080,173.0,1597.19,8430.83,55.94,3.0,71.31,Second Class,6.44
SHP0081,216.0,32.41,6613.06,96.82,0.0,,Standard,3.72
SHP0082,354.0,369.56,7865.76,64.37,3.0,71.38,Standard,5.93
SHP0083,217.0,1557.26,1632.21,60.99,1.0,80.44,Standard,6.18
SHP0084,170.0,1027.2,8789.78,48.29,1.0,50.38,Standard,4.76
SHP0085,57.0,880.17,6818.63,38.62,3.0,82.4,Standard,7.94
SHP0086,145.0,667.0,1623.68,38.97,1.0,,First Class,2.35
SHP0087,70.0,535.0,4930.07,90.26,0.0,76.82,Standard,4.34
SHP0088,356.0,1223.5,1137.07,35.48,1.0,40.69,Second Class,4.53
SHP0089,225.0,661.49,6562.6,77.14,3.0,76.38,Second Class,5.04
SHP0090,129.0,786.25,5417.35,74.63,0.0,38.7,Standard,4.12
SHP0091,279.0,1399.44,5267.84,73.17,1.0,46.86,Standard,6.01
SHP0092,256.0,1703.4,7647.98,64.89,1.0,42.76,Second Class,5.14
SHP0093,246.0,1788.61,6962.1,39.16,1.0,55.03,First Class,4.75
SHP0094,298.0,875.42,961.68,47.51,3.0,37.24,Standard,5.36
SHP0095,320.0,253.01,27579.72,80.15,2.0,68.33,Standard,4.89
SHP0096,110.0,49.74,4941.97,92.91,0.0,71.65,Standard,5.1
SHP0097,94.0,892.91,1820.71,66.34,2.0,38.22,Standard,5.51
SHP0098,370.0,142.06,3222.54,60.38,3.0,81.74,First Class,4.63
SHP0099,486.0,216.29,4656.37,89.17,2.0,,Second Class,4.04
SHP0100,283.0,426.54,7750.79,37.61,0.0,96.66,Second Class,3.58
SHP0101,236.0,1785.63,7954.84,73.91,2.0,89.25,Standard,8.0
SHP0102,318.0,296.2,1053.6,98.13,2.0,95.73,First Class,4.18
SHP0103,36.0,202.69,4063.07,62.95,0.0,,First Class,1.85
SHP0104,198.0,1649.08,7615.23,54.62,3.0,92.49,Standard,6.99
SHP0105,192.0,1121.62,5480.92,59.21,0.0,98.7,First Class,3.78
SHP0106,221.0,1333.12,7718.18,72.35,1.0,96.43,Standard,7.29
SHP0107,377.0,641.75,5435.75,92.31,1.0,48.52,Second Class,4.35
SHP0108,257.0,1681.23,2123.87,82.4,3.0,30.6,Standard,6.17
SHP0109,430.0,1757.1,4600.25,57.26,3.0,94.42,Same Day,5.14
SHP0110,245.0,1007.43,4709.12,59.87,3.0,45.02,Standard,6.02
SHP0111,36.0,1776.38,8062.59,76.28,1.0,89.24,Standard,5.61
SHP0112,344.0,912.9,3298.41,75.82,2.0,99.64,Standard,6.38
SHP0113,403.0,794.33,2229.66,42.4,2.0,69.7,Second Class,4.59
SHP0114,297.0,1414.85,6777.39,72.5,1.0,42.92,Standard,5.31
SHP0115,470.0,1161.42,3863.29,83.56,1.0,73.12,Standard,5.13
SHP0116,219.0,364.95,4436.5,43.27,0.0,87.6,Standard,4.47
SHP0117,402.0,929.32,8792.79,85.43,1.0,33.62,Second Class,3.77
SHP0118,20.0,34.54,6120.61,44.66,2.0,90.17,Standard,4.49
SHP0119,38.0,1576.81,6095.86,40.62,2.0,77.5,Standard,7.79
SHP0120,401.0,978.69,,71.22,0.0,93.86,Standard,5.0
SHP0121,439.0,87.91,6489.21,85.76,2.0,47.67,Second Class,2.95
SHP0122,269.0,1688.28,8599.74,75.06,3.0,92.83,Standard,8.55
SHP0123,381.0,1798.99,5754.73,74.44,3.0,34.73,Same Day,5.15
SHP0124,176.0,1328.46,5348.62,41.0,3.0,78.09,Second Class,5.52
SHP0125,368.0,779.23,2665.4,72.64,3.0,94.47,Standard,6.4
SHP0126,259.0,1066.6,,68.47,1.0,64.18,Standard,5.24
SHP0127,165.0,23.37,4853.8,35.93,3.0,32.05,First Class,2.56
SHP0128,64.0,199.67,672.65,84.79,2.0,96.92,Standard,4.65
SHP0129,103.0,599.14,1639.35,49.28,1.0,66.98,Standard,4.02
SHP0130,454.0,743.23,6419.07,65.13,2.0,42.03,Standard,6.48
SHP0131,233.0,1361.93,6159.25,64.71,3.0,93.57,Second Class,6.21
SHP0132,495.0,311.46,400.84,79.22,1.0,86.12,First Class,2.96
SHP0133,189.0,213.41,1594.01,91.04,0.0,95.07,Second Class,4.27
SHP0134,48.0,1256.95,5617.75,85.7,0.0,71.77,First Class,3.35
SHP0135,142.0,1599.02,3757.74,48.79,2.0,37.5, STANDARD ,3.9
SHP0136,191.0,1584.0,5362.35,49.87,1.0,67.86,Second Class,4.54
SHP0137,356.0,1336.74,1289.01,62.85,0.0,60.65,Standard,5.37
SHP0138,370.0,1770.5,7783.0,58.75,2.0,60.61,Standard,6.75
SHP0139,373.0,942.16,2441.58,81.72,3.0,21.15,First Class,4.73
SHP0140,170.0,1395.17,3463.48,70.61,2.0,40.58,Standard,5.6
SHP0141,202.0,753.83,4126.92,64.28,3.0,41.55,Second Class,5.78
SHP0142,292.0,639.09,5396.54,74.29,2.0,27.04,First Class,3.25
SHP0143,311.0,1639.93,8827.59,59.76,0.0,50.3,Standard,4.84
SHP0144,219.0,778.12,,90.78,0.0,55.9,Same Day,2.13
SHP0145,111.0,1344.92,1587.11,83.59,3.0,74.88,Same Day,4.69
SHP0146,391.0,897.16,1436.23,86.74,3.0,61.57,Standard,6.48
SHP0147,269.0,206.42,7006.39,99.44,2.0,56.3,Second Class,3.72
SHP0148,480.0,232.74,3534.73,79.66,0.0,31.7,Standard,3.21
SHP0149,474.0,920.67,8353.66,77.38,3.0,38.88,Second Class,5.04
SHP0150,446.0,1275.28,739.05,84.81,0.0,45.62,Standard,5.29
SHP0151,481.0,1337.76,,76.13,3.0,31.88,First Class,5.47
SHP0152,318.0,607.58,6851.54,97.08,0.0,40.58,Standard,4.53
SHP0153,163.0,21.53,4637.71,61.43,1.0,52.34,Standard,4.32
SHP0154,96.0,962.37,3748.4,59.0,1.0,38.45,Standard,5.42
SHP0155,70.0,345.27,7331.92,40.57,2.0,40.41,First Class,3.64
SHP0156,474.0,579.62,4655.57,96.29,3.0,82.69,Second Class,5.41
SHP0157,149.0,1021.78,8172.85,40.32,2.0,49.02,First Class,3.04
SHP0158,31.0,708.34,2261.63,94.16,2.0,50.59,Standard,5.48
SHP0159,38.0,828.91,5446.33,58.05,3.0,82.57,Second Class,6.71
SHP0160,162.0,95.57,23060.56,99.44,1.0,81.46,First Class,2.26
SHP0161,490.0,333.51,8178.11,43.54,2.0,77.31,Standard,4.48
SHP0162,155.0,1516.2,975.31,50.72,3.0,66.5,Standard,6.96
SHP0163,69.0,923.83,7280.63,86.39,0.0,25.06,Standard,3.67
SHP0164,342.0,1593.79,6198.88,60.3,3.0,88.8,Same Day,5.52
SHP0165,48.0,1543.86,7766.39,63.66,3.0,70.15,Second Class,6.45
SHP0166,253.0,351.74,,48.06,2.0,95.23,Standard,6.03
SHP0167,61.0,722.28,4165.89,45.16,2.0,34.49,Second Class,4.31
SHP0168,64.0,948.77,7197.49,90.81,3.0,29.36,First Class,4.48
SHP0169,192.0,180.04,2665.03,73.47,2.0,92.17,Second Class,3.9
SHP0170,26.0,158.21,640.45,86.1,3.0,45.23,Second Class,4.01
SHP0171,428.0,1515.47,6787.19,58.83,2.0,96.78,Same Day,3.09
SHP0172,310.0,1488.95,7339.51,66.63,0.0,80.5,Standard,5.09
SHP0173,468.0,693.0,7483.81,94.53,1.0,38.0,Standard,4.23
SHP0174,255.0,1273.32,16448.2,93.84,2.0,70.13,First Class,5.03
SHP0175,286.0,934.69,6634.16,73.71,2.0,47.31,Standard,4.72
SHP0176,308.0,1347.04,6465.74,79.29,2.0,85.63,Second Class,7.14
SHP0177,243.0,570.76,2703.66,39.86,2.0,71.46,Second Class,5.36
SHP0178,290.0,855.9,6925.02,57.36,2.0,78.35,Standard,5.18
SHP0179,294.0,1607.86,8683.09,71.88,0.0,42.9,First Class,2.29
SHP0180,447.0,1470.88,3266.12,63.73,1.0,21.76,Second Class,3.3
SHP0181,165.0,561.38,2569.99,54.98,2.0,53.05,Standard,5.21
SHP0182,460.0,1587.78,5317.15,80.68,1.0,77.35,Second Class,4.78
SHP0183,102.0,720.7,7918.62,50.32,1.0,92.99,Standard,5.16
SHP0184,110.0,1229.87,5533.38,94.16,3.0,44.64,Second Class,6.12
SHP0185,142.0,1282.16,8734.93,48.46,1.0,56.71,First Class,4.01
SHP0186,472.0,726.02,8315.13,81.66,3.0,90.53,Standard,7.08
SHP0187,137.0,1489.63,,67.13,3.0,40.09,Standard,5.68
SHP0188,398.0,840.31,6406.01,82.65,0.0,74.49,Standard,5.23
SHP0189,299.0,1729.44,1725.78,61.36,3.0,90.67,First Class,6.53
SHP0190,326.0,1686.37,,57.99,2.0,70.43,First class,5.71
SHP0191,57.0,1620.98,7319.79,76.88,1.0,29.25,Second Class,5.28
SHP0192,336.0,1635.49,3694.04,97.61,2.0,72.18,Second Class,5.38
SHP0193,53.0,268.95,2168.3,79.75,0.0,23.33,First Class,0.5
SHP0194,282.0,1168.76,708.64,36.05,1.0,42.54,First Class,3.53
SHP0195,397.0,1335.3,2123.96,37.01,1.0,90.75,Standard,7.01
SHP0196,460.0,954.12,,48.86,1.0,77.14,Second Class,4.14
SHP0197,495.0,954.95,8328.61,57.96,3.0,37.21,Standard,5.27
SHP0198,131.0,366.57,3614.96,45.37,1.0,75.33,Standard,4.69
SHP0199,388.0,293.61,,96.98,2.0,65.89,Same Day,3.28
SHP0200,307.0,1410.73,,52.28,2.0,84.72,Standard,7.07
SHP0201,372.0,273.54,7431.22,64.81,3.0,73.77,First class,3.29
SHP0202,410.0,1312.11,8358.67,44.14,1.0,86.04,standard,4.92
SHP0203,247.0,143.34,4597.66,54.83,3.0,78.37,Second Class,4.46
SHP0204,84.0,744.99,4174.76,70.48,2.0,26.61,Same Day,2.63
SHP0205,398.0,48.1,8186.77,62.21,0.0,57.91,Standard,3.93
SHP0206,315.0,1190.37,2166.2,40.78,2.0,24.9,Second Class,3.91
SHP0207,84.0,530.78,8297.55,83.61,1.0,42.87,Standard,3.9
SHP0208,213.0,844.52,8269.88,98.02,3.0,42.47,Second Class,5.47
SHP0209,89.0,519.18,8624.28,50.31,3.0,57.45,Standard,5.43
SHP0210,387.0,930.82,8036.48,49.4,2.0,46.34,Standard,4.81
SHP0211,180.0,1185.48,4802.75,84.09,2.0,38.58,First Class,3.79
SHP0212,52.0,304.61,6183.64,64.52,0.0,88.8,Second Class,4.01
SHP0213,156.0,1399.8,4867.02,37.62,3.0,24.34,Standard,5.73
SHP0214,311.0,1409.62,2820.46,38.13,0.0,57.03,First Class,3.23
SHP0215,303.0,1696.19,8917.16,98.79,3.0,71.53,Standard,7.03
SHP0216,431.0,688.35,370.99,82.02,2.0,35.24,Standard,5.4
SHP0217,193.0,1572.27,2376.02,68.5,3.0,56.6,Standard,6.6
SHP0218,321.0,173.17,8368.51,45.28,0.0,47.36,Standard,3.47
SHP0219,473.0,1789.06,8577.93,94.17,2.0,88.99,First Class,5.89
SHP0220,174.0,385.91,,59.39,1.0,24.04,First Class,1.92
SHP0221,34.0,676.06,8998.08,56.33,2.0,24.86,Standard,4.12
SHP0222,334.0,172.84,7341.9,86.35,1.0,57.64,Standard,4.23
SHP0223,308.0,1504.08,7025.2,88.18,2.0,76.63,Standard,6.58
SHP0224,182.0,877.25,5210.83,36.25,0.0,89.86,Second Class,4.81
SHP0225,290.0,1732.51,3639.31,70.76,0.0,60.57,Same Day,2.41
SHP0226,340.0,264.59,231.78,57.82,0.0,97.18,Standard,4.87
SHP0227,412.0,1605.82,3385.39,98.07,0.0,73.67,Standard,6.59
SHP0228,81.0,650.39,3466.84,55.45,0.0,96.22,Same Day,2.64
SHP0229,246.0,429.14,871.17,54.54,1.0,88.41,Second Class,4.74
SHP0230,154.0,1184.54,897.86,77.8,0.0,91.63,Standard,5.34
SHP0231,180.0,59.19,2480.81,93.74,2.0,22.46,First Class,2.8
SHP0232,35.0,948.22,,76.73,3.0,,Second Class,6.45
SHP0233,222.0,855.12,7000.96,71.39,3.0,72.61,First Class,3.74
SHP0234,60.0,92.07,5361.58,42.85,1.0,31.42,Standard,3.25
SHP0235,464.0,784.36,4937.52,51.71,3.0,26.69,Second Class,3.88
SHP0236,286.0,552.33,7199.88,86.92,3.0,29.42,Standard,4.13
SHP0237,222.0,451.32,7654.81,43.85,2.0,59.15,Second Class,4.24
SHP0238,131.0,1674.88,4042.62,96.12,0.0,25.42,Second Class,4.61
SHP0239,470.0,1078.94,5523.43,96.58,0.0,53.35,First Class,2.79
SHP0240,267.0,281.71,8303.27,76.54,2.0,32.99,Second Class,4.11
SHP0241,493.0,1364.05,856.32,54.64,2.0,23.53,Standard,5.85
SHP0242,336.0,668.37,5538.82,95.07,2.0,28.72,Standard,5.04
SHP0243,496.0,1079.94,7022.14,86.84,2.0,27.04,Standard,5.07
SHP0244,442.0,686.98,3931.9,82.9,2.0,92.05,Standard,6.51
SHP0245,376.0,1151.19,6786.98,44.21,1.0,72.71,Same Day,4.04
SHP0246,190.0,1229.08,7584.33,74.68,3.0,71.09,Standard,5.51
SHP0247,393.0,513.94,6914.44,88.13,2.0,98.4,Standard,6.48
SHP0248,172.0,1496.75,4900.74,50.07,1.0,64.69,Standard,5.05
SHP0249,432.0,1114.54,6560.68,51.8,2.0,94.66,Standard,7.0
SHP0250,170.0,1091.46,6427.62,64.09,2.0,,Same Day,4.14
SHP0251,57.0,396.32,3542.79,87.23,1.0,55.79,First Class,2.69
SHP0252,76.0,460.86,338.21,41.27,0.0,75.93,Standard,3.88
SHP0253,238.0,714.7,8554.99,80.65,1.0,54.54,Second Class,4.16
SHP0254,338.0,65.8,4289.1,72.48,3.0,35.4,Standard,4.88
SHP0255,158.0,103.24,2791.79,81.11,0.0,24.43,Second Class,2.22
SHP0256,413.0,1194.51,2367.21,45.02,2.0,93.91, STANDARD ,6.53
SHP0257,142.0,573.08,3685.52,97.74,3.0,49.36,Standard,4.79
SHP0258,247.0,1297.84,5264.24,45.11,0.0,87.02,Second Class,4.37
SHP0259,181.0,139.31,4732.15,88.58,2.0,54.72,First Class,3.61
SHP0260,287.0,1333.54,3532.42,35.6,1.0,25.37,Second Class,3.93
SHP0261,110.0,389.45,838.26,81.77,3.0,64.51,First Class,4.01
SHP0262,480.0,1565.85,8829.7,54.8,0.0,,Standard,4.5
SHP0263,464.0,1632.23,289.05,59.6,2.0,78.08,Standard,7.44
SHP0264,355.0,1242.32,8289.93,92.18,2.0,51.34,First Class,4.92
SHP0265,274.0,712.74,431.31,60.58,0.0,83.96,Second Class,3.17
SHP0266,377.0,51.04,4623.03,69.71,1.0,28.29,Standard,2.8
SHP0267,244.0,1371.2,7101.39,75.06,0.0,22.12,Same Day,1.62
SHP0268,446.0,1015.26,6022.64,35.75,2.0,29.84,Same Day,2.38
SHP0269,51.0,152.71,,79.94,0.0,95.36,First Class,3.37
SHP0270,123.0,1029.47,1012.81,96.67,2.0,41.96,Standard,5.59
SHP0271,239.0,16.05,7796.86,61.11,1.0,67.11,Second Class,4.3
SHP0272,332.0,815.22,5900.96,89.75,1.0,51.22,standard,4.6
SHP0273,359.0,1105.8,8484.53,49.9,3.0,37.3,First Class,3.78
SHP0274,364.0,1445.77,8957.95,70.49,3.0,32.72,First Class,4.91
SHP0275,471.0,526.64,6828.58,50.94,1.0,67.51,Standard,5.37
SHP0276,424.0,421.52,7275.61,48.51,3.0,57.12,First Class,4.03
SHP0277,459.0,599.31,8655.12,76.39,1.0,96.75,Standard,5.7
SHP0278,185.0,111.25,6516.01,36.86,2.0,86.36,Standard,4.72
SHP0279,353.0,1677.04,5563.54,99.34,1.0,85.59, STANDARD ,6.34
SHP0280,350.0,1585.74,4813.56,80.57,0.0,25.29,First Class,3.38
SHP0281,310.0,1085.83,4777.07,52.49,3.0,56.13,First Class,5.33
SHP0282,310.0,138.88,5813.58,74.29,1.0,20.26,Second Class,2.15
SHP0283,272.0,155.11,5678.41,38.57,1.0,87.9,First class,3.76
SHP0284,216.0,1678.09,162.52,78.21,1.0,40.49,First Class,5.34
SHP0285,85.0,229.37,1470.92,89.82,3.0,54.29,standard,2.72
SHP0286,68.0,266.48,3838.34,87.51,2.0,38.89,Standard,4.76
SHP0287,21.0,1414.92,2695.19,43.39,0.0,27.04,Standard,4.97
SHP0288,189.0,546.25,6119.48,44.62,0.0,96.69,Standard,5.04
SHP0289,198.0,743.74,8917.39,77.78,2.0,65.32,Second Class,4.84
SHP0290,482.0,740.99,2502.68,53.53,0.0,56.76,First Class,2.5
SHP0291,136.0,1261.62,7324.65,95.43,0.0,82.09,Standard,6.56
SHP0292,123.0,852.84,3436.57,72.11,3.0,59.14,Second Class,4.86
SHP0293,41.0,1462.91,6555.58,71.62,2.0,,standard,5.29
SHP0294,74.0,895.21,935.36,84.37,1.0,84.82,Standard,6.39
SHP0295,335.0,526.38,5671.81,92.38,2.0,21.84,Standard,5.51
SHP0296,196.0,354.27,4757.07,65.02,1.0,59.15,Standard,3.81
SHP0297,317.0,1360.25,7487.35,71.52,1.0,22.9,Standard,5.61
SHP0298,68.0,399.02,1199.29,40.05,0.0,50.96,Standard,3.89
SHP0299,386.0,1097.99,4767.38,95.09,3.0,49.59,Second Class,5.67
SHP0300,148.0,1084.52,7790.78,93.14,0.0,83.91,Standard,5.46
SHP0021,99.0,378.1,3723.88,95.41,2.0,46.35,Same Day,3.42
SHP0076,227.0,562.87,6128.27,73.36,1.0,76.96,Second Class,4.02
SHP0151,481.0,1337.76,,76.13,3.0,31.88,First Class,5.47
