shipment_id,shipment_volume,distance_km,transport_cost,warehouse_load_pct,weather_risk,traffic_index,shipping_mode,delivery_days,on_time
SHP0038,417,1285.3,3972.72,35.32,3,20.86,Second Class,5.77,0
SHP0039,152,1393.83,6957.8,46.98,1,29.84,First Class,2.99,1
SHP0040,323,1558.49,6641.18,76.31,2,32.48,Second Class,5.72,0
SHP0041,99,1332.28,434.52,59.68,1,90.31,Second Class,5.27,0
SHP0042,383,1442.56,5194.35,95.08,0,54.0,Same Day,3.7,1
SHP0043,356,92.89,1515.41,84.71,1,41.99,Standard,4.21,1
SHP0044,190,425.99,8478.53,64.08,0,54.33,Standard,4.48,1
SHP0045,52,1121.31,1631.18,83.72,2,51.59,Standard,4.47,1
SHP0046,485,1545.33,5695.76,98.4,1,44.12,Second Class,5.03,0
SHP0047,233,13.08,3037.21,64.96,1,31.03,Second Class,3.08,1
SHP0048,448,928.76,5827.82,76.76,0,72.47,First Class,3.42,1
SHP0049,345,1220.73,3798.49,94.71,3,30.93,Second Class,6.16,0
SHP0050,393,58.15,6872.84,51.16,0,82.03,Standard,3.62,1
SHP0051,384,725.43,2191.51,92.63,2,36.14,Second Class,4.51,1
SHP0052,113,1612.66,8166.26,41.34,3,78.51,Standard,8.01,0
SHP0053,194,1210.54,4576.86,77.15,2,84.45,Standard,5.05,0
SHP0054,244,431.6,6841.42,85.88,2,30.03,First Class,3.46,1
SHP0055,258,1535.74,7670.11,74.95,3,26.94,Same Day,3.61,1
SHP0056,41,629.72,8989.63,67.21,0,95.97,Same Day,1.69,1
SHP0057,282,1536.75,2131.92,75.13,3,57.04,First Class,5.59,0
SHP0058,94,541.6,2689.0,44.86,2,70.42,Standard,6.08,0
SHP0059,376,1064.62,2366.33,49.01,1,21.86,Standard,5.19,0
SHP0060,347,717.51,2476.41,52.54,1,42.3,Standard,4.4,1
SHP0061,462,498.31,5304.64,73.86,2,60.43,Standard,5.8,0
SHP0062,377,1596.37,8942.67,63.72,3,90.9,Second Class,7.45,0
SHP0063,195,341.73,8913.96,50.89,2,41.72,First Class,2.91,1
SHP0064,484,157.24,4811.94,92.38,0,82.02,Second Class,3.07,1
SHP0065,217,618.76,5805.39,59.3,1,72.98,Second Class,3.85,1
SHP0066,176,1293.16,7760.74,63.99,2,29.22,Standard,6.11,0
SHP0067,454,1454.34,8406.46,61.63,1,43.47,Second Class,4.72,1
SHP0068,197,1797.74,1954.17,46.83,3,39.03,First Class,4.51,1
SHP0069,56,536.97,4827.59,82.56,2,55.4,Second Class,3.44,1
SHP0070,245,737.26,7520.61,64.15,0,70.83,First Class,3.49,1
SHP0071,401,250.59,2833.34,36.06,2,54.67,Standard,4.25,1
SHP0072,110,1036.9,4042.31,97.66,0,39.56,Same Day,2.16,1
SHP0073,242,1795.66,8872.75,88.02,1,75.67,Same Day,4.8,1
SHP0074,82,1263.08,8867.66,82.03,1,66.76,First Class,3.31,1
SHP0075,349,1073.41,8169.05,91.49,3,61.55,Standard,6.57,0
SHP0076,248,709.3,7216.27,93.94,3,64.35,Standard,6.11,0
SHP0077,178,1647.96,2531.8,56.94,1,37.75,Standard,5.8,0
SHP0078,128,896.97,2989.52,74.71,2,74.43,Second Class,6.07,0
SHP0079,290,246.19,4993.45,74.57,2,51.0,Same Day,1.3,1
SHP0080,341,660.85,5112.88,52.37,2,49.08,Standard,5.46,0
SHP0081,471,125.56,4623.7,49.43,2,31.98,First Class,3.19,1
SHP0082,229,367.55,5784.53,42.4,3,67.75,Same Day,2.84,1
SHP0083,97,36.72,3763.66,77.86,3,68.21,Standard,5.3,0
SHP0084,419,818.64,6780.19,85.76,3,47.22,First Class,4.67,1
SHP0085,322,1144.0,3101.92,84.46,0,88.79,First Class,4.1,1
SHP0086,356,621.21,3076.49,55.56,1,87.64,Standard,5.58,0
SHP0087,66,759.59,1275.95,48.34,1,28.72,Second Class,3.93,1
SHP0088,169,1726.78,1820.1,64.48,2,75.6,First Class,4.68,1
SHP0089,388,1354.77,7677.11,70.54,2,51.51,Second Class,6.02,0
SHP0090,419,975.84,4099.6,94.74,2,99.98,Standard,7.4,0
SHP0091,228,515.75,2166.63,91.86,1,38.0,Same Day,1.93,1
SHP0092,406,1615.11,6870.17,94.54,1,42.44,First Class,3.25,1
SHP0093,424,427.0,5052.73,90.27,1,55.37,Standard,4.53,1
SHP0094,205,588.99,337.23,97.7,3,41.5,Standard,5.82,0
SHP0095,451,1636.77,2949.8,65.26,1,75.36,Standard,5.52,0
SHP0096,158,955.53,1716.46,38.09,0,58.47,Second Class,3.49,1
SHP0097,134,1337.46,5954.47,40.43,3,37.67,Same Day,2.66,1
SHP0098,347,1065.39,2584.02,60.37,0,60.51,Standard,5.12,0
SHP0099,325,1177.92,724.78,51.75,2,91.1,Standard,6.57,0
SHP0100,87,542.39,636.17,46.05,3,83.39,First Class,3.41,1
SHP0101,419,438.26,5298.29,96.96,1,59.91,Standard,4.96,1
SHP0102,115,583.87,342.25,47.7,1,43.08,First Class,2.68,1
SHP0103,406,284.02,7661.81,97.36,1,34.39,Standard,4.43,1
SHP0104,23,1574.39,1525.26,84.45,0,90.27,Standard,5.77,0
SHP0105,402,513.43,5518.11,76.66,0,76.81,Second Class,3.24,1
SHP0106,397,1012.87,4085.49,78.94,0,65.77,Standard,4.37,1
SHP0107,394,1426.59,4069.24,56.55,1,90.35,Standard,5.88,0
SHP0108,339,1411.96,785.4,77.02,2,29.74,First Class,4.2,1
SHP0109,246,791.9,7254.36,47.13,0,74.6,Second Class,3.97,1
SHP0110,358,859.88,8053.51,95.95,3,37.34,Standard,5.81,0
SHP0111,153,1790.49,247.5,54.62,2,29.65,First Class,4.23,1
SHP0112,394,1215.9,1730.65,51.59,0,57.25,Second Class,3.87,1
SHP0113,286,1467.28,8149.55,81.23,3,50.99,Second Class,7.75,0
SHP0114,240,1625.08,5013.02,77.67,0,95.29,Standard,5.63,0
SHP0115,262,1418.72,1477.85,64.33,2,45.92,Second Class,4.95,1
SHP0116,292,337.4,1944.7,76.11,1,85.19,Standard,7.09,0
SHP0117,37,1014.1,5990.88,45.37,2,79.91,Second Class,5.6,0
SHP0118,87,187.9,6564.63,78.77,3,73.43,First Class,3.17,1
SHP0119,137,1177.0,5454.93,52.59,3,93.63,Standard,7.61,0
SHP0120,74,1719.85,8585.36,52.73,1,52.63,Same Day,2.69,1
SHP0121,231,925.35,4522.46,45.54,2,51.17,Same Day,3.4,1
SHP0122,340,782.19,2807.41,56.6,3,32.88,Second Class,4.68,1
SHP0123,334,69.34,4373.51,56.53,2,42.06,Standard,3.99,1
SHP0124,246,1727.8,3333.05,64.52,3,90.38,Second Class,8.08,0
SHP0125,430,189.89,2136.08,47.38,1,57.95,Same Day,1.87,1
SHP0126,291,78.74,556.77,47.55,1,47.31,Second Class,3.71,1
SHP0127,58,446.69,3267.08,70.21,2,37.29,First Class,3.41,1
SHP0128,387,122.63,6445.97,43.38,3,58.8,Same Day,2.23,1
SHP0129,295,821.94,313.17,79.78,3,77.33,Standard,6.9,0
SHP0130,324,931.38,4036.73,96.36,2,42.94,First Class,4.75,1
SHP0131,291,566.06,5849.48,62.74,2,80.62,Second Class,4.99,1
SHP0132,285,96.47,5552.08,93.57,2,70.38,Standard,6.22,0
SHP0133,63,205.32,7023.34,41.39,1,83.01,Standard,5.09,0
SHP0134,288,695.19,7323.1,37.79,1,40.07,Second Class,3.77,1
SHP0135,401,113.65,6448.6,81.89,1,70.48,Second Class,3.91,1
SHP0136,165,1258.25,1059.76,84.47,3,32.3,First Class,4.74,1
SHP0137,309,376.6,4353.95,89.8,2,49.1,Standard,4.16,1
SHP0138,34,547.22,5490.14,38.69,3,77.95,First Class,4.28,1
SHP0139,186,712.46,2323.26,85.5,0,70.53,First Class,3.18,1
SHP0140,229,752.81,526.58,59.48,3,35.03,Second Class,4.57,1
SHP0141,491,7.98,2128.77,54.72,2,88.67,First Class,3.65,1
SHP0142,123,206.17,4175.82,46.25,3,24.27,First Class,3.03,1
SHP0143,152,1553.66,3813.28,99.74,1,67.62,First Class,5.13,0
SHP0144,216,7.21,1713.5,39.14,1,98.71,Standard,5.0,1
SHP0145,496,917.16,7446.08,88.76,0,62.52,Standard,4.87,1
SHP0146,429,883.66,8342.33,76.57,3,84.05,Standard,5.79,0
SHP0147,36,602.9,1931.93,82.78,2,67.61,Standard,6.7,0
SHP0148,132,779.23,8376.72,81.26,3,82.65,Second Class,5.77,0
SHP0149,414,1406.14,308.07,90.8,0,72.45,Standard,5.48,0
SHP0150,47,1514.96,8335.92,46.95,0,75.29,Standard,5.23,0
SHP0151,430,472.33,8574.57,35.05,3,38.22,Standard,4.8,1
SHP0152,155,583.87,256.66,73.9,0,79.35,Standard,5.58,0
SHP0153,460,440.26,6902.72,58.0,2,39.03,Second Class,4.88,1
SHP0154,160,866.35,8736.28,43.05,1,98.45,Second Class,5.21,0
SHP0155,228,1231.45,8167.23,47.1,3,38.22,Second Class,5.33,0
SHP0156,337,414.71,8740.78,56.56,3,38.93,First Class,3.99,1
SHP0157,80,598.67,5020.36,39.57,3,88.69,Second Class,5.55,0
SHP0158,287,1675.04,841.68,38.7,1,39.44,Same Day,2.78,1
SHP0159,262,92.18,7670.63,94.54,2,48.87,Same Day,2.28,1
SHP0160,396,832.08,5582.38,55.29,2,77.17,Standard,5.53,0
SHP0161,498,1282.25,5590.42,98.84,3,32.7,Standard,6.53,0
SHP0162,338,275.06,3842.69,97.68,0,32.73,Standard,3.64,1
SHP0163,216,90.04,5210.8,44.27,3,58.91,Second Class,4.78,1
SHP0164,215,253.08,1509.18,81.47,1,39.5,Standard,3.65,1
SHP0165,220,1654.29,6696.96,74.05,0,38.85,Standard,5.59,0
SHP0166,410,21.62,813.9,79.89,2,20.74,Standard,3.39,1
SHP0167,174,343.04,6608.56,41.25,3,49.64,Standard,4.83,1
SHP0168,100,61.15,7663.46,47.26,0,45.46,Second Class,2.13,1
SHP0169,180,203.58,4331.35,39.98,0,22.49,Second Class,1.49,1
SHP0170,30,1118.17,4662.0,74.27,3,69.7,Standard,7.35,0
SHP0171,70,438.74,2913.1,99.13,3,70.13,Standard,5.4,0
SHP0172,63,1026.74,8729.71,78.68,0,25.66,Second Class,3.01,1
SHP0173,390,1064.4,6638.15,81.2,3,45.36,Second Class,6.35,0
SHP0174,366,1529.74,3415.55,99.0,3,89.82,Second Class,6.63,0
SHP0175,354,13.51,1697.05,79.07,3,66.57,Second Class,4.52,1
SHP0176,241,1536.8,2093.28,37.61,0,52.96,Standard,4.37,1
SHP0177,364,1116.32,4255.71,91.36,2,57.21,Standard,6.56,0
SHP0178,97,297.12,8491.73,58.7,3,36.66,Second Class,4.87,1
SHP0179,452,1392.42,6647.2,35.28,3,84.95,Second Class,6.84,0
SHP0180,260,1540.61,2054.91,67.97,2,93.12,Second Class,6.68,0
SHP0181,470,461.4,7757.12,95.91,0,92.85,Same Day,2.25,1
SHP0182,93,1654.23,3497.07,51.73,0,37.91,Standard,4.64,1
SHP0183,258,820.75,7687.74,66.95,1,44.86,Standard,4.21,1
SHP0184,354,1088.15,2289.04,46.3,0,32.85,Standard,5.01,0
SHP0185,257,1772.45,5625.15,38.75,0,44.58,First Class,4.06,1
SHP0186,234,653.96,8351.03,40.24,0,46.62,Standard,3.41,1
SHP0187,99,1464.62,2432.36,82.26,3,70.65,Standard,7.2,0
SHP0188,202,576.53,6282.4,91.16,2,35.17,Second Class,4.08,1
SHP0189,134,1439.59,8887.72,44.31,2,93.55,Standard,6.04,0
SHP0190,164,1083.32,1482.79,53.74,3,28.25,Standard,5.9,0
SHP0191,348,393.36,932.36,47.68,1,20.55,Standard,3.41,1
SHP0192,322,748.18,6116.63,36.75,1,88.4,First Class,3.04,1
SHP0193,311,575.16,3156.66,70.97,0,76.3,First Class,1.93,1
SHP0194,193,145.2,780.51,80.49,1,48.43,Second Class,2.36,1
SHP0195,480,58.55,4356.45,77.11,0,67.64,Same Day,0.91,1
SHP0196,62,626.93,6820.87,60.22,2,37.88,Second Class,4.14,1
SHP0197,184,39.17,2673.33,71.08,3,33.47,Standard,4.16,1
SHP0198,76,302.05,3115.16,41.12,2,57.69,First Class,3.57,1
SHP0199,182,1306.7,7634.44,45.03,1,48.26,Second Class,4.51,1
SHP0200,481,1276.02,4752.64,95.57,2,69.22,Standard,6.83,0
SHP0201,195,1330.75,7608.18,84.5,3,37.45,Standard,6.31,0
SHP0202,456,574.29,4100.55,94.98,1,73.03,Second Class,3.91,1
SHP0203,257,1602.58,8583.83,94.58,1,81.35,Standard,6.58,0
SHP0204,355,1070.93,5909.53,77.21,2,33.33,First Class,3.03,1
SHP0205,239,231.22,1175.7,95.34,0,23.51,First Class,2.02,1
SHP0206,147,262.97,7983.07,62.09,3,55.17,Standard,4.72,1
SHP0207,386,1249.11,4480.0,35.24,1,81.92,Second Class,5.63,0
SHP0208,485,315.43,1403.5,39.07,1,72.06,Second Class,3.54,1
SHP0209,146,915.59,1501.31,42.12,2,76.15,Same Day,3.91,1
SHP0210,393,1785.24,6234.68,41.2,0,52.23,Standard,4.6,1
SHP0211,145,12.19,569.25,57.86,0,38.8,Same Day,0.5,1
SHP0212,364,34.76,2686.35,80.58,0,62.54,Standard,3.9,1
SHP0213,398,1787.59,1387.12,86.39,1,36.35,Second Class,5.93,0
SHP0214,235,1054.43,4053.54,73.36,2,78.1,Standard,7.29,0
SHP0215,373,232.8,3817.03,44.52,0,35.76,First Class,1.62,1
SHP0216,150,1615.66,4768.61,83.61,1,43.3,First Class,5.36,0
SHP0217,58,1585.28,2624.78,58.06,3,60.52,Standard,6.8,0
SHP0218,66,967.48,433.59,35.84,3,58.94,Standard,6.8,0
SHP0219,234,1121.12,5587.32,53.24,0,68.07,First Class,2.68,1
SHP0220,453,495.37,3457.4,56.49,2,55.0,Second Class,4.6,1
SHP0221,81,95.68,5914.31,52.83,0,93.56,Second Class,1.89,1
SHP0222,238,1072.25,1111.7,87.77,2,87.19,First Class,4.15,1
SHP0223,357,534.09,271.93,84.4,3,90.33,Standard,6.73,0
SHP0224,117,1196.2,2347.4,80.21,3,70.36,First Class,4.38,1
SHP0225,366,1506.06,4190.44,44.04,0,70.8,Standard,5.62,0
SHP0226,166,37.6,3637.54,87.51,1,68.74,First Class,3.35,1
SHP0227,408,1074.31,7321.18,79.02,3,54.79,Second Class,5.37,0
SHP0228,298,420.15,3493.86,47.66,3,45.77,Second Class,3.93,1
SHP0229,282,1573.63,4844.4,77.13,1,67.36,Second Class,5.11,0
SHP0230,104,460.33,5402.61,66.43,0,22.04,Second Class,2.02,1
SHP0231,242,1101.33,343.21,63.56,1,20.6,Standard,4.56,1
SHP0232,431,998.61,4708.93,42.29,2,88.13,Second Class,5.5,0
SHP0233,29,716.12,3201.76,68.69,1,23.71,Standard,4.05,1
SHP0234,384,1221.33,3878.33,41.5,3,61.98,First Class,5.97,0
SHP0235,256,1307.76,1037.54,45.68,3,69.2,Second Class,5.57,0
SHP0236,365,1022.65,7077.96,43.62,3,35.85,Same Day,4.09,1
SHP0237,338,1366.37,8490.28,97.02,0,91.66,Second Class,4.49,1
SHP0238,227,1770.23,347.08,53.52,3,35.21,Standard,6.78,0
SHP0239,168,757.59,5472.15,58.09,3,90.76,Standard,7.31,0
SHP0240,321,928.68,6910.02,55.94,1,81.04,Standard,6.19,0
SHP0241,87,27.38,2670.55,93.39,2,39.26,Standard,4.13,1
SHP0242,300,1433.87,7119.87,71.59,3,32.06,First Class,5.14,0
SHP0243,65,938.81,5746.34,94.75,3,45.3,Same Day,3.83,1
SHP0244,331,737.29,8373.09,54.5,2,51.84,Standard,4.89,1
SHP0245,321,173.86,8831.89,42.46,0,39.66,First Class,1.98,1
SHP0246,60,1601.93,524.76,71.15,2,99.91,First Class,6.86,0
SHP0247,383,714.04,4087.7,57.46,2,38.37,Standard,5.3,0
SHP0248,219,1230.23,4990.84,87.12,0,86.45,Standard,5.92,0
SHP0249,397,273.13,1448.68,92.16,3,32.73,Standard,5.56,0
SHP0250,39,1730.98,3126.13,65.72,0,98.42,Second Class,4.59,1
SHP0251,106,325.3,8890.68,98.14,3,38.04,Standard,5.61,0
SHP0252,257,363.18,293.64,70.95,2,53.74,First Class,2.67,1
SHP0253,110,1546.87,4154.7,52.61,1,64.69,Second Class,4.8,1
SHP0254,178,1643.09,7607.49,66.78,0,29.62,Second Class,5.61,0
SHP0255,337,385.8,3016.53,37.43,0,85.35,Standard,4.06,1
SHP0256,89,848.29,4396.22,87.26,2,41.97,Standard,4.92,1
SHP0257,345,1321.62,8805.7,41.59,1,63.94,Standard,6.29,0
SHP0258,69,1581.67,4352.66,55.07,3,63.97,First Class,4.81,1
SHP0259,104,685.4,1308.65,71.75,0,68.21,Second Class,3.49,1
SHP0260,302,933.05,607.74,37.79,3,24.44,First Class,4.65,1
SHP0261,400,1336.38,8516.94,40.16,3,33.49,Standard,6.13,0
SHP0262,101,1317.39,2502.41,80.25,0,32.9,First Class,2.04,1
SHP0263,163,1410.41,4610.97,39.67,2,44.16,Same Day,3.58,1
SHP0264,464,1028.03,952.71,66.01,3,31.59,Standard,5.59,0
SHP0265,495,192.78,3899.35,57.02,1,93.75,Second Class,5.11,0
SHP0266,298,1627.63,8381.43,49.83,0,61.04,Standard,4.96,1
SHP0267,234,1558.7,4596.35,47.27,3,69.89,Same Day,5.15,0
SHP0268,186,1437.58,8744.55,84.62,1,48.6,Standard,6.81,0
SHP0269,313,184.25,2440.7,96.85,0,42.1,Same Day,0.5,1
SHP0270,303,371.89,4615.23,44.11,3,60.25,Same Day,2.72,1
SHP0271,161,1339.76,7756.85,97.38,2,43.55,Second Class,5.63,0
SHP0272,30,46.54,4117.03,73.66,0,47.49,First Class,1.2,1
SHP0273,92,1762.71,2623.46,76.71,1,56.22,Standard,6.31,0
SHP0274,480,681.97,7720.96,81.15,0,60.46,Same Day,1.65,1
SHP0275,220,1296.17,3600.52,80.77,3,98.75,Same Day,4.71,1
SHP0276,251,1598.19,4846.9,88.29,0,37.87,Standard,5.16,0
SHP0277,244,713.36,8792.26,66.43,3,59.04,First Class,4.41,1
SHP0278,395,577.84,1800.38,69.67,2,31.96,Standard,4.89,1
SHP0279,51,1097.69,2817.4,56.05,2,48.0,Standard,5.23,0
SHP0280,59,1047.88,424.97,41.84,3,77.38,Same Day,3.59,1
SHP0281,152,739.41,3617.76,78.2,3,33.96,Standard,5.54,0
SHP0282,253,1085.19,1921.62,37.18,0,66.51,Second Class,3.99,1
SHP0283,342,1684.01,6168.31,52.92,0,53.34,Second Class,4.31,1
SHP0284,255,844.41,1754.69,41.12,0,24.13,First Class,2.3,1
SHP0285,231,358.15,6122.09,47.4,2,94.65,Standard,4.34,1
SHP0286,470,682.08,2481.76,76.52,2,53.09,Standard,4.86,1
SHP0287,97,712.42,3293.68,75.85,0,82.71,Standard,4.62,1
SHP0288,294,240.34,3237.42,62.37,0,53.31,Standard,3.07,1
SHP0289,280,297.35,6493.25,40.86,2,94.99,Second Class,5.77,0
SHP0290,247,1233.79,4278.61,63.17,2,43.24,Standard,5.75,0
SHP0291,407,614.36,3347.5,57.93,1,52.98,Standard,4.7,1
SHP0292,148,1719.04,7695.71,81.83,3,80.71,Standard,7.34,0
SHP0293,477,442.26,5211.76,72.64,3,47.49,Standard,5.46,0
SHP0294,179,182.57,2042.4,66.95,3,49.15,Standard,4.37,1
SHP0295,281,1357.54,8115.81,66.65,1,99.59,First Class,4.66,1
SHP0296,269,1586.46,3182.46,97.81,3,64.45,Standard,6.69,0
SHP0297,427,504.21,494.97,84.16,2,75.15,Standard,5.38,0
SHP0298,230,367.75,4527.21,67.3,2,71.48,Standard,3.57,1
SHP0299,156,338.45,1246.85,66.15,1,86.23,Second Class,3.47,1
SHP0300,30,942.01,2260.43,36.72,3,88.95,Standard,7.55,0
SHP0301,194,845.81,6761.93,96.26,2,65.06,First Class,4.8,1
SHP0302,416,470.69,1307.15,55.75,0,43.56,Second Class,3.84,1
SHP0303,24,86.09,7291.46,51.64,3,21.82,Standard,5.36,0
SHP0304,450,869.28,8441.63,99.96,0,69.15,First Class,3.73,1
SHP0305,280,1727.0,5517.81,81.71,2,86.04,Standard,6.92,0
SHP0306,87,1176.27,6436.68,38.08,2,56.04,First Class,3.47,1
SHP0307,165,894.43,6465.24,39.02,2,33.18,Standard,5.75,0
SHP0308,285,203.69,8936.35,36.66,0,43.05,Standard,3.28,1
SHP0309,171,458.12,3172.61,73.98,1,60.8,Second Class,5.56,0
SHP0310,72,534.12,1591.28,39.65,3,86.93,Standard,5.86,0
SHP0311,339,1377.82,4744.63,95.67,0,33.74,First Class,4.52,1
SHP0312,342,1578.7,4869.26,95.9,2,68.97,Standard,6.71,0
SHP0313,77,1623.45,1724.53,70.49,3,80.27,Standard,8.33,0
SHP0314,154,1772.3,5576.02,75.08,3,94.88,First Class,7.44,0
SHP0315,137,1768.35,275.0,53.97,2,29.34,Standard,5.41,0
SHP0316,336,1715.63,8359.87,39.16,1,94.11,Standard,6.22,0
SHP0317,370,133.92,2491.48,82.93,2,68.12,Standard,4.31,1
SHP0318,368,252.34,500.11,41.62,1,81.34,Standard,3.77,1
SHP0319,470,551.52,1108.01,40.56,2,24.3,Second Class,4.18,1
SHP0320,388,997.45,2276.2,55.23,2,60.49,Standard,5.59,0
SHP0321,173,179.08,2574.07,35.81,2,69.81,First Class,3.22,1
SHP0322,71,1523.21,440.37,63.21,0,44.55,Second Class,4.67,1
SHP0323,315,1112.08,2622.29,81.0,3,54.53,Standard,5.24,0
SHP0324,459,978.54,1857.53,87.09,2,64.34,First Class,5.19,0
SHP0325,488,301.73,3500.8,74.28,3,64.2,Standard,5.39,0
SHP0326,130,459.59,3558.73,90.05,2,23.35,First Class,3.36,1
SHP0327,133,292.76,3150.22,61.42,3,55.16,Standard,5.77,0
SHP0328,37,1534.22,3052.13,90.17,3,37.11,Standard,7.59,0
SHP0329,87,1053.69,944.12,67.92,3,93.34,Second Class,6.23,0
SHP0330,286,1324.56,373.06,49.5,2,98.13,First Class,3.77,1
SHP0331,282,536.38,1938.71,96.37,2,43.97,Second Class,4.45,1
SHP0332,198,671.4,6846.35,52.87,0,34.01,Standard,3.87,1
SHP0333,168,731.71,8918.67,36.7,1,37.56,Standard,3.65,1
SHP0334,418,1369.23,8367.46,50.77,1,58.22,Second Class,4.94,1
SHP0335,240,1391.37,4612.34,58.83,3,89.96,Standard,7.06,0
SHP0336,407,376.23,4856.64,57.84,2,60.0,Second Class,3.41,1
SHP0337,482,1695.06,2934.05,69.1,1,24.43,Second Class,5.17,0
SHP0338,172,221.58,6999.36,92.4,0,23.19,Second Class,2.17,1
SHP0339,117,1613.54,6918.1,54.0,2,38.19,First Class,4.18,1
SHP0340,477,185.21,7621.81,68.85,1,87.42,Standard,4.46,1
SHP0341,324,479.85,8075.22,57.11,0,69.72,Standard,4.98,1
SHP0342,159,1524.43,3993.99,88.42,1,65.04,Standard,6.05,0
SHP0343,318,327.19,6936.85,45.24,3,45.52,Standard,5.18,0
SHP0344,267,747.35,7286.63,41.73,0,94.35,Second Class,3.86,1
SHP0345,454,812.5,2879.87,67.69,1,46.49,Second Class,4.37,1
SHP0346,142,445.24,8373.79,78.67,2,86.8,Standard,6.55,0
SHP0347,495,1279.89,984.92,86.71,0,91.67,Standard,6.13,0
SHP0348,469,1533.15,8949.28,73.33,0,58.67,Standard,5.78,0
SHP0349,106,1574.86,6965.3,85.3,3,91.54,Second Class,7.39,0
SHP0350,99,614.08,975.45,60.53,2,42.14,Standard,4.06,1
SHP0351,275,957.88,5957.63,37.14,0,72.67,Standard,4.11,1
SHP0352,41,450.89,452.49,42.55,0,27.04,Standard,3.15,1
SHP0353,163,444.41,6966.15,37.52,1,57.91,Standard,3.88,1
SHP0354,228,294.45,7223.12,56.38,2,37.39,Second Class,3.07,1
SHP0355,485,1692.33,5481.33,67.21,2,25.02,Second Class,4.07,1
SHP0356,496,1598.94,7733.21,58.16,0,20.3,Second Class,3.06,1
SHP0357,92,1400.36,1016.27,71.44,2,45.98,Second Class,5.17,0
SHP0358,448,934.2,2591.93,66.24,3,67.16,Standard,6.33,0
SHP0359,63,885.64,3815.47,79.07,0,56.42,Standard,4.04,1
SHP0360,379,955.89,525.75,78.35,0,44.14,Second Class,3.76,1
SHP0361,425,968.14,4116.71,55.67,3,99.3,Second Class,5.95,0
SHP0362,447,785.04,2497.14,57.5,2,95.16,Standard,6.81,0
SHP0363,127,241.5,3625.7,73.03,3,30.05,Standard,4.81,1
SHP0364,448,230.57,3912.16,73.77,1,53.21,First Class,3.08,1
SHP0365,75,1714.29,7932.79,55.46,1,71.91,Standard,6.37,0
SHP0366,269,870.25,2542.52,56.47,0,78.68,Second Class,3.19,1
SHP0367,245,1716.0,8059.63,80.11,0,49.31,Second Class,4.67,1
SHP0368,171,298.62,3919.84,77.08,1,79.7,First Class,2.4,1
