shipment_id,shipment_volume,distance_km,transport_cost,warehouse_load_pct,weather_risk,traffic_index,shipping_mode,delivery_days,on_time
SHP0130,324,429.81,4754.43,79.41,0,99.36,Second Class,3.78,1
SHP0131,291,1344.1,7228.85,49.84,1,99.95,Second Class,4.66,1
SHP0132,285,1470.74,2932.89,56.5,1,61.32,Same Day,2.24,1
SHP0133,63,193.97,7560.83,95.48,0,27.62,Standard,3.19,1
SHP0134,288,124.47,4523.15,38.16,3,78.23,Standard,4.96,1
SHP0135,401,1072.01,1175.33,64.95,2,98.13,Standard,6.79,0
SHP0136,165,267.38,787.72,81.25,0,45.47,Same Day,1.32,1
SHP0137,309,1485.27,7601.64,44.78,2,56.9,Standard,6.38,0
SHP0138,34,562.05,641.78,38.08,1,53.98,Second Class,3.88,1
SHP0139,186,263.25,2633.41,43.98,0,24.11,Standard,4.04,1
SHP0140,229,1658.14,3107.05,94.72,1,73.78,Same Day,3.14,1
SHP0141,491,302.13,1681.0,35.6,0,48.27,Standard,3.41,1
SHP0142,123,516.07,2927.96,47.24,0,83.0,Standard,5.13,0
SHP0143,152,280.74,6722.83,37.03,3,86.57,First Class,4.99,1
SHP0144,216,212.3,279.94,42.19,2,85.7,Same Day,1.63,1
SHP0145,496,42.96,7470.48,75.31,0,53.33,Standard,3.26,1
SHP0146,429,104.43,7730.45,50.71,3,45.72,First Class,4.19,1
SHP0147,36,318.48,3444.51,72.0,2,79.91,Standard,5.68,0
SHP0148,132,100.82,1509.47,73.36,3,84.11,Standard,5.85,0
SHP0149,414,1066.1,5467.44,90.21,2,59.3,Standard,5.85,0
SHP0150,47,1226.88,1209.1,35.31,1,91.44,Second Class,4.93,1
SHP0151,430,711.57,3379.54,90.47,2,31.51,Second Class,4.55,1
SHP0152,155,575.79,8632.1,75.24,2,90.33,Same Day,3.1,1
SHP0153,460,910.62,8959.86,45.58,2,27.69,Standard,4.94,1
SHP0154,160,1575.63,6983.13,85.24,0,32.28,Second Class,4.33,1
SHP0155,228,1532.78,2902.01,90.61,1,62.71,First Class,4.02,1
SHP0156,337,83.04,6235.84,51.53,0,25.4,Second Class,2.51,1
SHP0157,80,330.79,6392.85,94.72,1,24.22,Standard,5.85,0
SHP0158,287,429.96,3582.4,64.54,0,20.04,First Class,0.51,1
SHP0159,262,452.65,5821.86,74.22,0,54.91,Standard,4.19,1
SHP0160,396,1030.36,244.94,99.0,3,81.97,Standard,6.46,0
SHP0161,498,752.19,2000.16,58.5,0,22.79,Standard,4.04,1
SHP0162,338,93.41,4797.03,87.86,3,72.18,Standard,5.62,0
SHP0163,216,675.64,1599.2,55.7,0,85.85,Standard,5.19,0
SHP0164,215,945.14,1618.28,86.95,3,33.44,Standard,6.67,0
SHP0165,220,187.5,7551.29,74.05,1,31.75,First Class,2.32,1
SHP0166,410,1501.06,8903.83,49.06,2,88.86,Standard,7.53,0
SHP0167,174,98.27,5070.33,61.91,1,85.85,Standard,3.06,1
SHP0168,100,1665.09,7575.77,55.65,1,63.12,Standard,7.05,0
SHP0169,180,182.91,8914.35,40.08,1,85.54,Standard,4.79,1
SHP0170,30,1519.22,1403.12,36.94,2,27.42,Standard,6.34,0
SHP0171,70,1625.26,4116.97,57.52,1,51.56,Standard,4.98,1
SHP0172,63,1763.33,3624.27,36.24,2,79.02,Second Class,5.62,0
SHP0173,390,1444.64,858.44,45.76,3,40.6,Second Class,5.78,0
SHP0174,366,1404.16,6834.67,82.14,1,80.19,Second Class,5.46,0
SHP0175,354,1158.26,3988.94,81.03,1,60.33,Second Class,5.0,1
SHP0176,241,1403.3,4303.54,83.01,0,80.02,Second Class,5.63,0
SHP0177,364,246.52,1483.46,55.61,1,57.17,First Class,1.46,1
SHP0178,97,967.24,1751.2,92.85,0,49.43,Same Day,2.64,1
SHP0179,452,928.03,8177.87,73.6,0,37.54,Standard,4.24,1
SHP0180,260,1544.34,545.14,43.19,3,36.67,Second Class,5.59,0
SHP0181,470,835.72,2210.74,44.34,0,80.12,Standard,3.75,1
SHP0182,93,696.24,2734.73,80.05,1,29.51,Standard,4.72,1
SHP0183,258,1153.02,4488.25,46.24,3,26.88,Same Day,1.63,1
SHP0184,354,483.3,5340.04,67.97,3,34.1,First Class,4.07,1
SHP0185,257,255.88,4515.62,99.47,0,34.03,First Class,0.95,1
SHP0186,234,862.79,894.42,35.26,0,85.85,Standard,4.83,1
SHP0187,99,753.32,2306.46,36.08,1,51.88,First Class,2.93,1
SHP0188,202,422.46,7615.76,99.55,2,99.23,Standard,6.75,0
SHP0189,134,664.68,5792.66,73.0,3,30.98,Standard,5.33,0
SHP0190,164,662.67,5894.97,43.25,0,72.28,Standard,3.9,1
SHP0191,348,592.85,6081.3,93.32,0,55.9,First Class,2.35,1
SHP0192,322,686.14,6901.69,92.22,1,51.43,Same Day,3.08,1
SHP0193,311,1235.91,664.26,69.85,3,90.01,First Class,5.92,0
SHP0194,193,537.89,3394.48,75.42,0,98.05,Same Day,2.01,1
SHP0195,480,1708.2,4924.82,52.76,1,89.83,First Class,4.78,1
SHP0196,62,1649.84,3145.34,38.28,0,35.38,Standard,3.83,1
SHP0197,184,868.23,7623.64,73.65,0,37.66,Standard,4.41,1
SHP0198,76,594.41,4420.77,54.16,3,72.49,Standard,4.85,1
SHP0199,182,966.11,6952.35,78.14,0,43.13,Standard,4.89,1
SHP0200,481,1528.17,7690.34,89.36,1,78.78,First Class,4.82,1
SHP0201,195,1176.39,4617.4,36.18,3,65.31,Standard,8.01,0
SHP0202,456,1448.88,8199.54,73.72,2,64.07,Standard,5.72,0
SHP0203,257,961.24,5346.05,50.03,0,86.28,Standard,4.94,1
SHP0204,355,1141.09,7674.93,91.8,1,76.84,Standard,7.02,0
SHP0205,239,522.24,3164.23,51.49,3,22.13,Second Class,5.06,0
SHP0206,147,1324.13,4564.53,74.7,1,23.96,First Class,2.97,1
SHP0207,386,368.32,4852.99,70.98,2,68.12,First Class,3.74,1
SHP0208,485,1252.16,1079.07,60.75,2,58.9,Second Class,5.33,0
SHP0209,146,1549.99,3677.19,79.05,2,40.81,Standard,6.35,0
SHP0210,393,242.12,8268.44,82.18,0,53.49,Second Class,2.59,1
SHP0211,145,1107.81,5732.87,71.85,3,80.63,Standard,6.8,0
SHP0212,364,175.7,1720.93,84.3,3,86.13,Standard,4.88,1
SHP0213,398,1307.66,3148.87,98.92,0,64.9,First Class,3.82,1
SHP0214,235,156.67,1845.69,62.25,3,50.83,Second Class,4.72,1
SHP0215,373,1685.01,369.68,68.45,3,41.66,Standard,6.68,0
SHP0216,150,251.65,8358.03,35.81,2,61.75,Standard,3.68,1
SHP0217,58,1726.19,4116.63,86.74,1,45.18,Second Class,5.9,0
SHP0218,66,1442.59,2871.69,68.81,1,65.13,First Class,4.5,1
SHP0219,234,1070.66,5446.52,61.52,3,74.13,Standard,6.17,0
SHP0220,453,1409.81,214.73,41.11,0,25.29,First Class,2.61,1
SHP0221,81,1432.23,2610.5,92.83,3,20.09,Standard,5.31,0
SHP0222,238,1703.12,6371.85,60.68,3,36.98,First Class,4.46,1
SHP0223,357,459.82,5758.86,79.37,2,91.56,First Class,3.83,1
SHP0224,117,1064.19,8838.98,44.71,1,71.7,Second Class,5.48,0
SHP0225,366,175.61,5640.17,97.5,2,33.76,Standard,4.09,1
SHP0226,166,1111.02,4375.93,46.6,0,91.22,Standard,5.67,0
SHP0227,408,312.47,6888.68,47.97,3,57.6,Second Class,4.3,1
SHP0228,298,1019.09,8144.45,90.83,1,58.09,Standard,5.52,0
SHP0229,282,1032.51,6528.16,94.32,0,94.84,Second Class,4.72,1
SHP0230,104,841.44,8674.42,48.79,3,24.76,Second Class,5.27,0
SHP0231,242,943.12,7070.75,65.54,2,37.21,Second Class,4.25,1
SHP0232,431,1376.24,7821.19,82.68,2,66.86,Same Day,2.83,1
SHP0233,29,1439.64,1159.82,92.09,0,35.64,Standard,4.02,1
SHP0234,384,888.42,6631.86,59.64,3,74.36,First Class,4.47,1
SHP0235,256,1081.27,4044.78,68.61,2,37.13,Standard,4.67,1
SHP0236,365,1676.57,5044.97,83.21,3,27.93,Same Day,4.33,1
SHP0237,338,219.92,5938.81,82.52,3,36.56,Standard,4.76,1
SHP0238,227,215.2,8732.86,85.89,0,53.82,Second Class,4.59,1
SHP0239,168,162.44,8863.52,72.05,0,34.09,Standard,2.11,1
SHP0240,321,1185.86,2700.82,41.8,3,30.78,Second Class,5.31,0
SHP0241,87,756.4,6643.72,93.76,2,88.82,Same Day,2.84,1
SHP0242,300,1394.91,6787.35,91.26,1,45.63,Standard,5.27,0
SHP0243,65,1209.86,3216.46,86.88,1,48.86,Standard,5.49,0
SHP0244,331,603.88,1246.25,41.49,2,24.42,Standard,3.0,1
SHP0245,321,1617.57,512.38,48.29,3,48.59,Second Class,6.21,0
SHP0246,60,1373.75,7029.49,83.33,0,41.18,Standard,6.13,0
SHP0247,383,490.61,4483.84,36.5,2,68.84,Standard,4.85,1
SHP0248,219,658.72,8872.03,98.65,3,36.43,Standard,5.86,0
SHP0249,397,569.42,4265.02,59.51,1,91.07,Second Class,5.2,0
SHP0250,39,287.91,8804.57,81.76,1,94.37,Standard,4.98,1
